Year,Scenario,Population,Bed_demand_OECD_3_per_1000,MOH_bed_capacity_assumed_constant,Bed_gap,Stress_index,Breakpoint_year_demand_exceeds_capacity,Current_capacity_year,Current_capacity_moh_beds,
2023,Low,1650000,4950,1608,3342,3.078358209,2023,2023,1608,
2024,Low,1676000,5028,1608,3420,3.126865672,2023,2023,1608,
2025,Low,1703000,5109,1608,3501,3.177238806,2023,2023,1608,
2026,Low,1760750.13,5282.250389,1608,3674.250389,3.284981585,2023,2023,1608,
2027,Low,1820538.054,5461.614161,1608,3853.614161,3.396526219,2023,2023,1608,
2028,Low,1882438.465,5647.315396,1608,4039.315396,3.512012062,2023,2023,1608,
2029,Low,1946528.89,5839.58667,1608,4231.58667,3.63158375,2023,2023,1608,
2030,Low,2012889.796,6038.669387,1608,4430.669387,3.75539141,2023,2023,1608,
2031,Low,2081604.706,6244.814119,1608,4636.814119,3.88359087,2023,2023,1608,
2032,Low,2152760.323,6458.28097,1608,4850.28097,4.016343887,2023,2023,1608,
2033,Low,2226446.648,6679.339945,1608,5071.339945,4.153818374,2023,2023,1608,
2034,Low,2302757.112,6908.271336,1608,5300.271336,4.296188642,2023,2023,1608,
2035,Low,2381788.71,7145.36613,1608,5537.36613,4.443635653,2023,2023,1608,
2036,Low,2463642.141,7390.926422,1608,5782.926422,4.596347278,2023,2023,1608,
2037,Low,2548421.952,7645.265856,1608,6037.265856,4.754518567,2023,2023,1608,
2038,Low,2636236.691,7908.710073,1608,6300.710073,4.918352036,2023,2023,1608,
2039,Low,2727199.062,8181.597187,1608,6573.597187,5.088057952,2023,2023,1608,
2040,Low,2821426.091,8464.278272,1608,6856.278272,5.263854647,2023,2023,1608,
2023,Base,1650000,4950,1608,3342,3.078358209,2023,2023,1608,
2024,Base,1676000,5028,1608,3420,3.126865672,2023,2023,1608,
2025,Base,1703000,5109,1608,3501,3.177238806,2023,2023,1608,
2026,Base,1771245.378,5313.736134,1608,3705.736134,3.304562273,2023,2023,1608,
2027,Base,1842261.915,5526.785744,1608,3918.785744,3.437055811,2023,2023,1608,
2028,Base,1916163.633,5748.4909,1608,4140.4909,3.574932151,2023,2023,1608,
2029,Base,1993069.311,5979.207932,1608,4371.207932,3.718412893,2023,2023,1608,
2030,Base,2073102.677,6219.30803,1608,4611.30803,3.867728874,2023,2023,1608,
2031,Base,2156392.623,6469.17787,1608,4861.17787,4.023120566,2023,2023,1608,
2032,Base,2243073.424,6729.220271,1608,5121.220271,4.184838477,2023,2023,1608,
2033,Base,2333284.958,6999.854874,1608,5391.854874,4.353143578,2023,2023,1608,
2034,Base,2427172.952,7281.518855,1608,5673.518855,4.528307746,2023,2023,1608,
2035,Base,2524889.222,7574.667666,1608,5966.667666,4.71061422,2023,2023,1608,
2036,Base,2626591.937,7879.77581,1608,6271.77581,4.900358091,2023,2023,1608,
2037,Base,2732445.882,8197.337645,1608,6589.337645,5.097846794,2023,2023,1608,
2038,Base,2842622.742,8527.868226,1608,6919.868226,5.303400638,2023,2023,1608,
2039,Base,2957301.394,8871.904182,1608,7263.904182,5.517353347,2023,2023,1608,
2040,Base,3076668.211,9230.004632,1608,7622.004632,5.740052632,2023,2023,1608,
2023,High,1650000,4950,1608,3342,3.078358209,2023,2023,1608,
2024,High,1676000,5028,1608,3420,3.126865672,2023,2023,1608,
2025,High,1703000,5109,1608,3501,3.177238806,2023,2023,1608,
2026,High,1783756.07,5351.268211,1608,3743.268211,3.327903116,2023,2023,1608,
2027,High,1868345.034,5605.035101,1608,3997.035101,3.485718347,2023,2023,1608,
2028,High,1956948.975,5870.846925,1608,4262.846925,3.651024207,2023,2023,1608,
2029,High,2049758.636,6149.275909,1608,4541.275909,3.824176561,2023,2023,1608,
2030,High,2146973.83,6440.921491,1608,4832.921491,4.005548191,2023,2023,1608,
2031,High,2248803.87,6746.411611,1608,5138.411611,4.195529609,2023,2023,1608,
2032,High,2355468.025,7066.404075,1608,5458.404075,4.394529897,2023,2023,1608,
2033,High,2467195.99,7401.587969,1608,5793.587969,4.602977593,2023,2023,1608,
2034,High,2584228.384,7752.685153,1608,6144.685153,4.821321613,2023,2023,1608,
2035,High,2706817.273,8120.45182,1608,6512.45182,5.050032226,2023,2023,1608,
2036,High,2835226.709,8505.680127,1608,6897.680127,5.289602069,2023,2023,1608,
2037,High,2969733.304,8909.199913,1608,7301.199913,5.540547209,2023,2023,1608,
2038,High,3110626.829,9331.880488,1608,7723.880488,5.803408264,2023,2023,1608,
2039,High,3258210.839,9774.632516,1608,8166.632516,6.078751565,2023,2023,1608,
2040,High,3412803.327,10238.40998,1608,8630.409981,6.367170386,2023,2023,1608,
